"행정구역","2021년06월_계_총인구수","2021년06월_계_연령구간인구수","2021년06월_계_0세","2021년06월_남_총인구수","2021년06월_남_연령구간인구수","2021년06월_남_0세","2021년06월_여_총인구수","2021년06월_여_연령구간인구수","2021년06월_여_0세","2021년07월_계_총인구수","2021년07월_계_연령구간인구수","2021년07월_계_0세","2021년07월_남_총인구수","2021년07월_남_연령구간인구수","2021년07월_남_0세","2021년07월_여_총인구수","2021년07월_여_연령구간인구수","2021년07월_여_0세","2021년08월_계_총인구수","2021년08월_계_연령구간인구수","2021년08월_계_0세","2021년08월_남_총인구수","2021년08월_남_연령구간인구수","2021년08월_남_0세","2021년08월_여_총인구수","2021년08월_여_연령구간인구수","2021년08월_여_0세"
"서울특별시 강남구 (1168000000)","531,375","2,072","2,072","254,139","1,055","1,055","277,236","1,017","1,017","530,529","2,054","2,054","253,799","1,039","1,039","276,730","1,015","1,015","532,818","2,072","2,072","254,936","1,055","1,055","277,882","1,017","1,017"
"서울특별시 강남구 신사동(1168051000)","16,185","50","50","7,525","32","32","8,660","18","18","16,116","50","50","7,485","30","30","8,631","20","20","16,076","58","58","7,464","36","36","8,612","22","22"
"서울특별시 강남구 논현1동(1168052100)","22,563","78","78","10,630","39","39","11,933","39","39","22,481","82","82","10,563","41","41","11,918","41","41","22,457","78","78","10,566","41","41","11,891","37","37"
"서울특별시 강남구 논현2동(1168053100)","21,399","75","75","9,986","38","38","11,413","37","37","21,316","75","75","9,968","40","40","11,348","35","35","21,290","72","72","9,952","39","39","11,338","33","33"
"서울특별시 강남구 압구정동(1168054500)","26,620","104","104","12,311","50","50","14,309","54","54","26,570","111","111","12,280","53","53","14,290","58","58","26,461","110","110","12,225","51","51","14,236","59","59"
"서울특별시 강남구 청담동(1168056500)","26,379","129","129","12,335","78","78","14,044","51","51","26,293","123","123","12,301","72","72","13,992","51","51","26,257","122","122","12,277","71","71","13,980","51","51"
"서울특별시 강남구 삼성1동(1168058000)","13,105","51","51","6,474","22","22","6,631","29","29","13,077","45","45","6,446","18","18","6,631","27","27","13,045","41","41","6,424","16","16","6,621","25","25"
"서울특별시 강남구 삼성2동(1168059000)","29,529","157","157","14,108","85","85","15,421","72","72","29,563","150","150","14,139","78","78","15,424","72","72","29,460","142","142","14,096","77","77","15,364","65","65"
"서울특별시 강남구 대치1동(1168060000)","24,444","29","29","12,312","14","14","12,132","15","15","24,356","33","33","12,272","15","15","12,084","18","18","24,286","39","39","12,218","18","18","12,068","21","21"
"서울특별시 강남구 대치2동(1168061000)","36,518","87","87","18,507","46","46","18,011","41","41","36,422","89","89","18,460","45","45","17,962","44","44","36,245","92","92","18,389","46","46","17,856","46","46"
"서울특별시 강남구 대치4동(1168063000)","19,997","37","37","9,417","20","20","10,580","17","17","19,974","36","36","9,421","17","17","10,553","19","19","20,067","38","38","9,458","17","17","10,609","21","21"
"서울특별시 강남구 역삼1동(1168064000)","35,495","100","100","17,177","47","47","18,318","53","53","35,606","105","105","17,267","51","51","18,339","54","54","35,620","103","103","17,285","52","52","18,335","51","51"
"서울특별시 강남구 역삼2동(1168065000)","36,210","167","167","16,950","86","86","19,260","81","81","36,121","148","148","16,929","76","76","19,192","72","72","36,109","151","151","16,931","79","79","19,178","72","72"
"서울특별시 강남구 도곡1동(1168065500)","21,790","81","81","10,308","40","40","11,482","41","41","21,741","86","86","10,298","43","43","11,443","43","43","21,615","91","91","10,229","44","44","11,386","47","47"
"서울특별시 강남구 도곡2동(1168065600)","33,503","129","129","15,563","72","72","17,940","57","57","33,454","119","119","15,547","72","72","17,907","47","47","33,375","110","110","15,493","63","63","17,882","47","47"
"서울특별시 강남구 개포1동(1168066000)","6,479","12","12","3,160","9","9","3,319","3","3","6,464","10","10","3,148","7","7","3,316","3","3","6,419","11","11","3,130","7","7","3,289","4","4"
"서울특별시 강남구 개포2동(1168067000)","21,879","135","135","10,522","66","66","11,357","69","69","21,883","130","130","10,526","65","65","11,357","65","65","25,424","139","139","12,286","69","69","13,138","70","70"
"서울특별시 강남구 개포4동(1168069000)","23,757","125","125","11,523","61","61","12,234","64","64","23,755","127","127","11,530","63","63","12,225","64","64","23,748","133","133","11,514","67","67","12,234","66","66"
"서울특별시 강남구 세곡동(1168070000)","43,782","225","225","20,754","110","110","23,028","115","115","43,660","222","222","20,688","108","108","22,972","114","114","43,467","226","226","20,582","111","111","22,885","115","115"
"서울특별시 강남구 일원본동(1168072000)","23,564","95","95","11,613","44","44","11,951","51","51","23,526","105","105","11,595","49","49","11,931","56","56","23,424","108","108","11,550","54","54","11,874","54","54"
"서울특별시 강남구 일원1동(1168073000)","15,365","40","40","7,533","21","21","7,832","19","19","15,341","43","43","7,512","21","21","7,829","22","22","15,304","39","39","7,504","20","20","7,800","19","19"
"서울특별시 강남구 일원2동(1168074000)","17,864","85","85","8,654","34","34","9,210","51","51","17,838","84","84","8,639","34","34","9,199","50","50","17,709","81","81","8,577","31","31","9,132","50","50"
"서울특별시 강남구 수서동(1168075000)","14,948","81","81","6,777","41","41","8,171","40","40","14,972","81","81","6,785","41","41","8,187","40","40","14,960","88","88","6,786","46","46","8,174","42","42"
