기온분석,,,,
[검색조건],,,,
자료구분 : 일,,,,
자료형태 : 기본,,,,
지역/지점 : 서울,,,,
기간 : 20210819~20210917,,,,
,,,,
날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2021-08-19,108,26,21,31.5
2021-08-20,108,26.6,22.6,30.7
2021-08-21,108,23.8,21,25.5
2021-08-22,108,24.4,22.4,25
2021-08-23,108,22.4,21,24
2021-08-24,108,23.4,21.1,26.4
2021-08-25,108,25,23.5,27.3
2021-08-26,108,25.5,22.9,27.9
2021-08-27,108,22.4,20.4,25.5
2021-08-28,108,23.6,19.7,28.2
2021-08-29,108,23.7,21.9,26.3
2021-08-30,108,24.2,21.2,27.7
2021-08-31,108,20.5,18.1,23.1
2021-09-01,108,21.4,18.5,23.9
2021-09-02,108,23.5,20.7,26.7
2021-09-03,108,24.3,20.6,29.2
2021-09-04,108,23.2,18.5,28.6
2021-09-05,108,23.1,19.4,27.3
2021-09-06,108,22.3,18,26.4
2021-09-07,108,19.6,17.6,20.9
2021-09-08,108,22.2,19,26.9
2021-09-09,108,23.5,19.1,29.1
2021-09-10,108,23.6,19.5,28.9
2021-09-11,108,24,19.9,29.4
2021-09-12,108,24.2,19.2,29.8
2021-09-13,108,24.8,20.8,30.3
2021-09-14,108,24.6,20,29.5
2021-09-15,108,23.6,19.5,28.9
2021-09-16,108,22.9,18,27.3
2021-09-17,108,23.5,20.5,28.2
